frecuency;magnitude;;;
437149295.774648;-97.3438034057617;;;
437166197.183099;-96.1236343383789;;;
437183098.591549;-95.561164855957;;;
437200000;-96.0893783569336;;;
437216901.408451;-94.2722473144531;;;
437233802.816901;-93.1916580200195;;;
437250704.225352;-94.3631591796875;;;
437267605.633803;-96.6072769165039;;;
437284507.042253;-96.1300354003906;;;
437301408.450704;-96.0569305419922;;;
437318309.859155;-97.1312942504883;;;
437335211.267606;-95.657585144043;;;
437352112.676056;-94.8862686157227;;;
437369014.084507;-95.6493682861328;;;
437385915.492958;-96.2916793823242;;;
437402816.901408;-93.821418762207;;;
437419718.309859;-93.3484649658203;;;
437436619.71831;-95.6101379394531;;;
437453521.126761;-95.4397430419922;;;
437470422.535211;-93.88623046875;;;
437487323.943662;-96.4043960571289;;;
437504225.352113;-95.6110000610352;;;
437521126.760563;-94.7087173461914;;;
437538028.169014;-94.3704376220703;;;
437554929.577465;-95.4908599853516;;;
437571830.985915;-96.2156600952148;;;
437588732.394366;-96.3174438476563;;;
437605633.802817;-96.14453125;;;
437622535.211268;-97.1258544921875;;;
437639436.619718;-96.2601699829102;;;
437656338.028169;-97.9553070068359;;;
437673239.43662;-94.8152236938477;;;
437690140.84507;-93.7813720703125;;;
437707042.253521;-95.6974258422852;;;
437723943.661972;-95.7478561401367;;;
437740845.070423;-98.5747451782227;;;
437757746.478873;-95.0760803222656;;;
437774647.887324;-94.2490921020508;;;
437791549.295775;-94.4609603881836;;;
437808450.704225;-96.4814758300781;;;
437825352.112676;-96.6482238769531;;;
437842253.521127;-96.0003128051758;;;
437859154.929577;-97.2620010375977;;;
437876056.338028;-98.2824096679688;;;
437892957.746479;-95.3720169067383;;;
437909859.15493;-96.8846664428711;;;
437926760.56338;-97.4982833862305;;;
437943661.971831;-95.1589965820313;;;
437960563.380282;-94.5974044799805;;;
437977464.788732;-96.4921569824219;;;
437994366.197183;-97.9248886108398;;;
438011267.605634;-93.8109664916992;;;
438028169.014085;-91.5440063476563;;;
438045070.422535;-96.0621109008789;;;
